城市,月份,住宅类型,面积段,环比,同比,定基,累计平均,来源URL
上海,2024-01,二手住宅,90m2及以下,99.5,94.5,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
上海,2024-01,二手住宅,90-144m2,99.4,96.0,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
上海,2024-01,二手住宅,144m2以上,98.2,97.1,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
南京,2024-01,新建商品住宅,全部,99.5,96.4,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
南京,2024-01,二手住宅,全部,99.1,92.6,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
南京,2024-01,新建商品住宅,90m2及以下,100.0,96.4,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
南京,2024-01,新建商品住宅,90-144m2,99.4,95.4,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
南京,2024-01,新建商品住宅,144m2以上,99.3,98.7,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
南京,2024-01,二手住宅,90m2及以下,99.3,92.7,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
南京,2024-01,二手住宅,90-144m2,99.2,92.3,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
南京,2024-01,二手住宅,144m2以上,98.0,93.0,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
杭州,2024-01,新建商品住宅,全部,99.7,101.6,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
杭州,2024-01,二手住宅,全部,98.8,96.9,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
杭州,2024-01,新建商品住宅,90m2及以下,99.4,100.3,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
杭州,2024-01,新建商品住宅,90-144m2,99.9,102.0,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
杭州,2024-01,新建商品住宅,144m2以上,99.6,101.5,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
杭州,2024-01,二手住宅,90m2及以下,98.7,96.4,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
杭州,2024-01,二手住宅,90-144m2,98.9,97.4,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
杭州,2024-01,二手住宅,144m2以上,99.1,97.3,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
宁波,2024-01,新建商品住宅,全部,99.6,100.2,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
